자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,대구선명학교,해당없음,대구광역시,법인,68,20787180,0,0
2026-07,(주)그린씨앤씨텍,기타 반도체 소자 제조업,경기도,법인,32,9541040,0,0
2026-07,한국머스크(주),통관 대리 및 관련서비스업 / 화물 운송 중개  대리,서울특별시,법인,172,94596020,2,1
2026-07,티디이엔텍주식회사/일용/(단가)보온공사,주철관 제조업,울산광역시,법인,125,52892460,58,7
2026-07,외식명가 삼산정,한식 일반 음식점업,울산광역시,법인,40,12322920,4,4
2026-07,한국도로공사,그 외 기타 분류 안된 운송관련 서비스업,경상북도,법인,8728,4351412220,198,78
2026-07,(주)오주건설(일용)행정중심복합도시5-1L1BL아파트건설공사21공구중철근콘크리트공사,콘크리트 및 철근 공사업,세종특별자치시,법인,62,32409360,6,0
2026-07,대주중공업(주)/일용/용인cluster1기 구축공사 중 철골공사-6,육상 금속 골조 구조재 제조업,경기도,법인,67,41306900,12,1
2026-07,유한회사 현성이엔지,선박 구성 부분품 제조업,경상남도,법인,37,8871800,3,1
2026-07,주식회사 에이치비에스라이프,침구 및 관련제품 제조업,서울특별시,법인,31,9381260,3,1
2026-07,피엔에스주식회사（P&SCO．，LTD）,천연 및 혼합 조제 조미료 제조업,경기도,법인,93,28017320,1,2
2026-07,비테스코테크놀로지스코리아 유한책임회사,산업 처리공정 제어장비 제조업,경기도,법인,979,529725180,5,6
2026-07,울산양육원,BIZ_NO미존재사업장,울산광역시,법인,80,28495180,1,0
2026-07,(주)에스피엔이,BIZ_NO미존재사업장,서울특별시,법인,68,20544900,2,7
2026-07,（주）디에이치마린,BIZ_NO미존재사업장,울산광역시,법인,143,46557400,1,2
2026-07,주식회사크리에이티브애드창,광고 대행업,서울특별시,법인,48,12746240,0,15
2026-07,서울시자살예방센터,BIZ_NO미존재사업장,서울특별시,법인,56,18166600,2,1
2026-07,(주)포스코인터내셔널,상품 종합 도매업,서울특별시,법인,1897,1166739940,4,5
